#,sample_id,point_id,replicate,substrate,latitude_N,longitude_W,pH_Sept10_2025,seeding_date,pH_measurement_date
1,P1R1,P1,R1,Naturopatia/Nopal,19.3326548,-98.3660376,9.74,2025-09-09,2025-09-10
2,P1R2,P1,R2,Naturopatia/Nopal,19.3326548,-98.3660376,8.34,2025-09-09,2025-09-10
3,P1R3,P1,R3,Naturopatia/Nopal,19.3326548,-98.3660376,8.76,2025-09-09,2025-09-10
4,P2R1,P2,R1,Nopal,19.3329772,-98.3661579,5.36,2025-09-09,2025-09-10
5,P2R2,P2,R2,Nopal,19.3329772,-98.3661579,7.85,2025-09-09,2025-09-10
6,P2R3,P2,R3,Nopal,19.3329772,-98.3661579,6.75,2025-09-09,2025-09-10
7,P3R1,P3,R1,Nopal,19.331647,-98.3661915,8.27,2025-09-09,2025-09-10
8,P3R2,P3,R2,Nopal,19.331647,-98.3661915,8.62,2025-09-09,2025-09-10
9,P3R3,P3,R3,Nopal,19.331647,-98.3661915,8.31,2025-09-09,2025-09-10
10,P4R1,P4,R1,Nopal,19.3344024,-98.3659789,6.94,2025-09-09,2025-09-10
11,P4R2,P4,R2,Nopal,19.3344024,-98.3659789,8.9,2025-09-09,2025-09-10
12,P4R3,P4,R3,Nopal,19.3344024,-98.3659789,6.48,2025-09-09,2025-09-10
13,P5R1,P5,R1,Nopal,19.3347065,-98.366337,7.89,2025-09-09,2025-09-10
14,P5R2,P5,R2,Nopal,19.3347065,-98.366337,8.18,2025-09-09,2025-09-10
15,P5R3,P5,R3,Nopal,19.3347065,-98.366337,8.38,2025-09-09,2025-09-10
16,P6R1,P6,R1,Maguey,19.3320018,-98.366052,8.68,2025-09-09,2025-09-10
17,P6R2,P6,R2,Maguey,19.3320018,-98.366052,8.9,2025-09-09,2025-09-10
18,P6R3,P6,R3,Maguey,19.3320018,-98.366052,8.41,2025-09-09,2025-09-10
19,P7R1,P7,R1,Agave,19.3320746,-98.3660674,8.17,2025-09-09,2025-09-10
20,P7R2,P7,R2,Agave,19.3320746,-98.3660674,8.06,2025-09-09,2025-09-10
21,P7R3,P7,R3,Agave,19.3320746,-98.3660674,7.73,2025-09-09,2025-09-10
22,P8R1,P8,R1,Biznaga/Nopal,19.3268832,-98.3667089,8.49,2025-09-09,2025-09-10
23,P8R2,P8,R2,Biznaga/Nopal,19.3268832,-98.3667089,7.89,2025-09-09,2025-09-10
24,P8R3,P8,R3,Biznaga/Nopal,19.3268832,-98.3667089,8.18,2025-09-09,2025-09-10
25,P9R1,P9,R1,Nopal,19.3268142,-98.3665405,8.17,2025-09-09,2025-09-10
26,P9R2,P9,R2,Nopal,19.3268142,-98.3665405,9.52,2025-09-09,2025-09-10
27,P9R3,P9,R3,Nopal,19.3268142,-98.3665405,8.18,2025-09-09,2025-09-10
28,P10R1,P10,R1,Nopal,19.3262861,-98.3669871,8.56,2025-09-09,2025-09-10
29,P10R2,P10,R2,Nopal,19.3262861,-98.3669871,7.28,2025-09-09,2025-09-10
30,P10R3,P10,R3,Nopal,19.3262861,-98.3669871,9.25,2025-09-09,2025-09-10
31,P11R1,P11,R1,Nopal,19.3263067,-98.3670233,8.6,2025-09-09,2025-09-10
32,P11R2,P11,R2,Nopal,19.3263067,-98.3670233,8.2,2025-09-09,2025-09-10
33,P11R3,P11,R3,Nopal,19.3263067,-98.3670233,6.78,2025-09-09,2025-09-10
34,P12R1,P12,R1,Nopal,19.3263004,-98.3671188,10.05,2025-09-09,2025-09-10
35,P12R2,P12,R2,Nopal,19.3263004,-98.3671188,9.72,2025-09-09,2025-09-10
36,P12R3,P12,R3,Nopal,19.3263004,-98.3671188,8.72,2025-09-09,2025-09-10
