point_id,substrate,latitude_N,longitude_W,collection_date,moist_chamber_samples
P1,Naturopatia/Nopal,19.3326548,-98.3660376,2025-09-03,"P1R1,P1R2,P1R3"
P2,Nopal,19.3329772,-98.3661579,2025-09-03,"P2R1,P2R2,P2R3"
P3,Nopal,19.331647,-98.3661915,2025-09-03,"P3R1,P3R2,P3R3"
P4,Nopal,19.3344024,-98.3659789,2025-09-03,"P4R1,P4R2,P4R3"
P5,Nopal,19.3347065,-98.366337,2025-09-03,"P5R1,P5R2,P5R3"
P6,Maguey,19.3320018,-98.366052,2025-09-03,"P6R1,P6R2,P6R3"
P7,Agave,19.3320746,-98.3660674,2025-09-03,"P7R1,P7R2,P7R3"
P8,Biznaga/Nopal,19.3268832,-98.3667089,2025-09-03,"P8R1,P8R2,P8R3"
P9,Nopal,19.3268142,-98.3665405,2025-09-03,"P9R1,P9R2,P9R3"
P10,Nopal,19.3262861,-98.3669871,2025-09-03,"P10R1,P10R2,P10R3"
P11,Nopal,19.3263067,-98.3670233,2025-09-03,"P11R1,P11R2,P11R3"
P12,Nopal,19.3263004,-98.3671188,2025-09-03,"P12R1,P12R2,P12R3"
